epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,7169.68,1.43025,1.5046,1.75651,0.86303,0.76759,0.84556,0.49657,0.9243,2.53812,1.02174,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7276.88,1.43539,1.50896,1.75844,0.85093,0.7839,0.84846,0.50401,0.91469,2.6719,1.01733,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7383.9,1.42959,1.48715,1.75817,0.8349,0.75531,0.83221,0.49368,0.91364,2.71353,1.01739,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7496.58,1.42627,1.49159,1.75442,0.86905,0.75424,0.83536,0.4964,0.90514,2.90477,1.01117,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7607.28,1.412,1.47254,1.74193,0.8445,0.77648,0.83999,0.5033,0.88977,2.75757,0.99769,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7712.71,1.42118,1.4638,1.75134,0.84997,0.78496,0.8423,0.50854,0.89623,2.41345,0.99516,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7825,1.40575,1.45523,1.73909,0.84569,0.77793,0.84129,0.50565,0.89769,2.37179,1.00444,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7936.17,1.40324,1.44691,1.73513,0.84531,0.77754,0.84138,0.5066,0.90497,2.47691,1.00659,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8043.43,1.40647,1.43973,1.73414,0.83122,0.79555,0.84282,0.50127,0.91836,3.16307,1.01275,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8152.65,1.41021,1.44598,1.74171,0.83442,0.78178,0.83562,0.50068,0.91431,2.27594,1.01752,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8259.02,1.39697,1.43043,1.73391,0.87118,0.75936,0.84322,0.50448,0.91083,2.03477,1.00702,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8375.74,1.38689,1.42542,1.71948,0.86751,0.7786,0.84928,0.51548,0.89523,2.39263,0.99312,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8485.73,1.38934,1.42232,1.72234,0.87063,0.76283,0.84419,0.50856,0.9084,2.58955,1.00295,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8593.65,1.38219,1.41557,1.71406,0.86935,0.78944,0.85213,0.50831,0.90804,2.5209,1.00417,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8707.46,1.38101,1.39722,1.71172,0.84671,0.79237,0.84955,0.50784,0.90967,2.5153,1.00212,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8815.3,1.38664,1.40741,1.72173,0.84216,0.79237,0.84593,0.50796,0.89756,2.34274,0.99502,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8925.33,1.37213,1.39145,1.71113,0.85626,0.78882,0.84605,0.5118,0.89412,2.27266,0.99124,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9037.54,1.38238,1.38716,1.70852,0.87408,0.77943,0.8544,0.51852,0.88226,2.17229,0.98437,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9143.78,1.37322,1.3884,1.70776,0.87213,0.78034,0.85245,0.5201,0.88292,2.12739,0.98896,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9252.47,1.37051,1.37754,1.70215,0.8643,0.79237,0.85447,0.52069,0.88058,2.07624,0.98873,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9367.25,1.37749,1.38511,1.70277,0.87484,0.7923,0.86146,0.52465,0.8767,2.22969,0.98165,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9475.31,1.36019,1.35952,1.69542,0.85534,0.79546,0.86248,0.52306,0.88518,2.05781,0.98237,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9579.53,1.36382,1.36926,1.6972,0.85838,0.79237,0.86234,0.52597,0.88664,1.8448,0.98757,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9693.61,1.3552,1.35929,1.6899,0.85436,0.79979,0.86439,0.52635,0.87823,2.00181,0.98056,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
