epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,7568.56,0.49575,0.69389,0.37933,0.87954,0.80403,0.86477,0.50138,0.25833,0.81128,0.21922,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7730.18,0.49154,0.69431,0.38425,0.87813,0.79025,0.85197,0.46596,0.27396,0.70218,0.23045,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7890.27,0.49117,0.69664,0.3811,0.8732,0.81356,0.87197,0.49368,0.26575,0.58366,0.21475,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8051.32,0.49102,0.69621,0.37144,0.8829,0.83867,0.87089,0.48925,0.26379,0.69583,0.21532,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8212.27,0.48967,0.69294,0.37167,0.89628,0.80297,0.86871,0.49646,0.25821,0.65276,0.20823,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8374,0.48357,0.68508,0.37316,0.86468,0.82415,0.8656,0.48716,0.26536,0.63241,0.21622,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8535.24,0.48336,0.68677,0.36961,0.87703,0.82354,0.88301,0.48534,0.27019,0.6238,0.22633,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8697.2,0.4724,0.68534,0.36972,0.89467,0.83051,0.87743,0.4859,0.27226,0.57987,0.22936,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8859.79,0.48872,0.67911,0.37708,0.90713,0.81886,0.89014,0.48995,0.27019,0.59902,0.23286,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9021.1,0.47781,0.68156,0.3679,0.87667,0.83581,0.88909,0.51041,0.25724,0.55767,0.22038,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
